20170901 013700;1.189180;1.189220;1.189170;1.189220;0
20170901 013800;1.189210;1.189220;1.189170;1.189190;0
20170901 013900;1.189190;1.189190;1.189190;1.189190;0
20170901 014000;1.189190;1.189200;1.189160;1.189160;0
20170901 014100;1.189180;1.189220;1.189160;1.189160;0
20170901 014200;1.189180;1.189200;1.188760;1.188960;0
20170901 014300;1.188940;1.189000;1.188850;1.188970;0
20170901 014400;1.188970;1.189000;1.188960;1.189000;0
20170901 014500;1.188980;1.189010;1.188930;1.188940;0
20170901 014600;1.188950;1.188960;1.188950;1.188960;0
20170901 014700;1.188960;1.189210;1.188940;1.189180;0
20170901 014800;1.189190;1.189230;1.189180;1.189210;0
20170901 014900;1.189220;1.189320;1.189220;1.189310;0
20170901 015000;1.189300;1.189480;1.189270;1.189460;0
20170901 015100;1.189450;1.189450;1.189320;1.189320;0
20170901 015200;1.189330;1.189330;1.189190;1.189200;0
20170901 015300;1.189210;1.189210;1.189120;1.189210;0
20170901 015400;1.189230;1.189390;1.189230;1.189390;0
20170901 015500;1.189400;1.189410;1.189320;1.189360;0
20170901 015600;1.189340;1.189340;1.189140;1.189160;0
20170901 015700;1.189160;1.189250;1.189110;1.189240;0
20170901 015800;1.189260;1.189270;1.188970;1.188970;0
20170901 015900;1.188960;1.189500;1.188880;1.189480;0
20170901 020000;1.189460;1.189470;1.189340;1.189350;0
20170901 020100;1.189350;1.189450;1.189320;1.189420;0
20170901 020200;1.189420;1.189420;1.189290;1.189390;0
20170901 020300;1.189380;1.189470;1.189330;1.189330;0
20170901 020400;1.189310;1.189330;1.189210;1.189280;0
20170901 020500;1.189290;1.189340;1.189280;1.189320;0
20170901 020600;1.189310;1.189360;1.189240;1.189360;0
20170901 020700;1.189390;1.189750;1.189310;1.189750;0
20170901 020800;1.189740;1.190480;1.189710;1.190440;0
20170901 020900;1.190460;1.190460;1.189960;1.190230;0
20170901 021000;1.190250;1.190360;1.190220;1.190270;0
20170901 021100;1.190290;1.190310;1.190170;1.190290;0
20170901 021200;1.190360;1.190370;1.190050;1.190080;0
20170901 021300;1.190060;1.190210;1.189870;1.189870;0
20170901 021400;1.189910;1.190030;1.189910;1.190010;0
20170901 021500;1.189980;1.190020;1.189780;1.189820;0
20170901 021600;1.189850;1.189850;1.189720;1.189770;0
20170901 021700;1.189760;1.189860;1.189730;1.189780;0
20170901 021800;1.189770;1.189800;1.189540;1.189540;0
20170901 021900;1.189560;1.189650;1.189520;1.189640;0
20170901 022000;1.189660;1.189840;1.189650;1.189840;0
20170901 022100;1.189830;1.189880;1.189780;1.189780;0
20170901 022200;1.189750;1.189750;1.189670;1.189710;0
20170901 022300;1.189700;1.189700;1.189570;1.189570;0
20170901 022400;1.189580;1.189630;1.189440;1.189470;0
20170901 022500;1.189500;1.189550;1.189460;1.189510;0
20170901 022600;1.189550;1.189670;1.189420;1.189420;0
20170901 022700;1.189440;1.189570;1.189430;1.189570;0
20170901 022800;1.189550;1.189550;1.189460;1.189520;0
20170901 022900;1.189550;1.189700;1.189550;1.189640;0
20170901 023000;1.189630;1.189670;1.189530;1.189670;0
20170901 023100;1.189670;1.189960;1.189670;1.189960;0
20170901 023200;1.189970;1.189980;1.189770;1.189770;0
20170901 023300;1.189760;1.189770;1.189330;1.189490;0
20170901 023400;1.189500;1.189610;1.189200;1.189200;0
20170901 023500;1.189140;1.189270;1.189060;1.189170;0
20170901 023600;1.189190;1.189280;1.189180;1.189220;0
20170901 023700;1.189240;1.189260;1.189090;1.189090;0
20170901 023800;1.189110;1.189110;1.188870;1.189040;0
20170901 023900;1.189030;1.189170;1.188970;1.189120;0
20170901 024000;1.189120;1.189120;1.188720;1.188750;0
20170901 024100;1.188730;1.188800;1.188450;1.188450;0
20170901 024200;1.188440;1.188500;1.188310;1.188400;0
20170901 024300;1.188390;1.188600;1.188350;1.188600;0
20170901 024400;1.188590;1.188650;1.188570;1.188580;0
20170901 024500;1.188590;1.188670;1.188590;1.188670;0
20170901 024600;1.188690;1.188720;1.188610;1.188690;0
20170901 024700;1.188670;1.188670;1.188380;1.188520;0
20170901 024800;1.188500;1.188540;1.188460;1.188500;0
20170901 024900;1.188490;1.188500;1.188400;1.188470;0
20170901 025000;1.188460;1.188480;1.188320;1.188350;0
20170901 025100;1.188390;1.188450;1.188250;1.188450;0
20170901 025200;1.188440;1.188510;1.188410;1.188410;0
20170901 025300;1.188440;1.188590;1.188440;1.188470;0
20170901 025400;1.188460;1.188720;1.188460;1.188650;0
20170901 025500;1.188630;1.188630;1.188430;1.188490;0
20170901 025600;1.188480;1.188550;1.188460;1.188540;0
20170901 025700;1.188550;1.188640;1.188550;1.188640;0
20170901 025800;1.188630;1.188650;1.188550;1.188560;0
20170901 025900;1.188540;1.188570;1.188420;1.188500;0
20170901 030000;1.188500;1.188510;1.188350;1.188410;0
20170901 030100;1.188400;1.188460;1.188350;1.188420;0
20170901 030200;1.188410;1.188540;1.188380;1.188430;0
20170901 030300;1.188440;1.188460;1.188200;1.188200;0
20170901 030400;1.188230;1.188250;1.188060;1.188160;0
20170901 030500;1.188150;1.188210;1.188030;1.188210;0
20170901 030600;1.188220;1.188290;1.188070;1.188070;0
20170901 030700;1.188080;1.188130;1.188020;1.188020;0
20170901 030800;1.188040;1.188090;1.187970;1.187990;0
20170901 030900;1.187980;1.188120;1.187930;1.188030;0
20170901 031000;1.188010;1.188200;1.188000;1.188200;0
20170901 031100;1.188190;1.188270;1.188170;1.188190;0
20170901 031200;1.188210;1.188640;1.188210;1.188640;0
20170901 031300;1.188650;1.188770;1.188650;1.188750;0
20170901 031400;1.188750;1.188770;1.188600;1.188690;0
20170901 031500;1.188650;1.188760;1.188550;1.188760;0
20170901 031600;1.188770;1.188820;1.188770;1.188820;0
20170901 031700;1.188840;1.188840;1.188590;1.188610;0
20170901 031800;1.188620;1.188800;1.188620;1.188730;0
20170901 031900;1.188720;1.188810;1.188680;1.188780;0
20170901 032000;1.188800;1.188910;1.188780;1.188890;0
20170901 032100;1.188880;1.188880;1.188790;1.188790;0
20170901 032200;1.188800;1.188880;1.188800;1.188840;0
20170901 032300;1.188820;1.188820;1.188760;1.188770;0
20170901 032400;1.188750;1.189010;1.188730;1.188970;0
20170901 032500;1.188980;1.189000;1.188880;1.188920;0
20170901 032600;1.188910;1.188950;1.188860;1.188930;0
